,Date,ITS_LIVE Mean Velocity,Mask Ratio
1338,2021-05-18,2748.9,0.947
1341,2021-05-19,2757.2,0.942
1346,2021-05-21,2752.6,0.956
1349,2021-05-23,2797.2,0.956
1352,2021-05-25,2806.9,0.896
1353,2021-05-26,2872.7,0.948
1356,2021-05-28,2877.0,0.945
1363,2021-05-31,2874.3,0.948
1368,2021-06-01,2691.9,0.815
1369,2021-06-02,2931.6,0.948
1372,2021-06-03,2710.6,0.888
1373,2021-06-05,2957.7,0.948
1377,2021-06-06,2888.4,0.948
1380,2021-06-08,3086.3,0.948
1384,2021-06-09,2857.2,0.915
1388,2021-06-10,2937.0,0.935
1392,2021-06-11,2943.9,0.89
1394,2021-06-12,2930.9,0.925
1397,2021-06-13,2896.2,0.943
1403,2021-06-15,2734.6,0.898
1404,2021-06-17,2906.7,0.893
1405,2021-06-18,2972.6,0.822
1406,2021-06-20,2990.0,0.942
1409,2021-06-21,2766.1,0.868
1410,2021-06-23,3076.8,0.898
1411,2021-06-24,3064.4,0.874
